"","scientific_name","taxa_data.kingdom.i.","taxa_data.class.i.","taxa_data.order.i.","RN","original","taxa_data.family.i.","taxa_data.taxonomicStatus.i.","genus","common"
"69","Philornis downsi","Animalia","Insecta","Diptera","4131","P. downsi","Muscidae","accepted name","Philornis","Animalia"
"70","Blarina brevicauda","Animalia","Mammalia","Soricomorpha","1362","Blarina brevicauda","Soricidae","accepted name","Blarina","Blarina brevicauda"
"71","Mormoops megalophylla","Animalia","Mammalia","Chiroptera","3431","Mormoops megalophylla","Mormoopidae","accepted name","Mormoops","Chiroptera"
"72","Leptonycteris curasoae","Animalia","Mammalia","Chiroptera","3431","Leptonycteris curasoae","Phyllostomidae","accepted name","Leptonycteris","Chiroptera"
"73","Glossophaga longirostris","Animalia","Mammalia","Chiroptera","3431","Glossophaga longirostris","Phyllostomidae","accepted name","Glossophaga","Chiroptera"
"74","Natalus tumidirostris","Animalia","Mammalia","Chiroptera","3431","Natalus tumidirostris","Natalidae","accepted name","Natalus","Chiroptera"
"75","Myotis nesopolus","Animalia","Mammalia","Chiroptera","3431","Myotis nesopolus","Vespertilionidae","accepted name","Myotis","Chiroptera"
"76","Leptonycteris curasoae","Animalia","Mammalia","Chiroptera","3431","L. curasoae","Phyllostomidae","accepted name","Leptonycteris","Chiroptera"
"77","Dasypus novemcinctus","Animalia","Mammalia","Cingulata","3942","Dasypus novemcinctus","Dasypodidae","accepted name","Dasypus","Mammalia"
"78","Pecari tajacu","Animalia","Mammalia","Artiodactyla","3942","Pecari tajacu","Tayassuidae","accepted name","Pecari","Mammalia"
"79","Dasyprocta fuliginosa","Animalia","Mammalia","Rodentia","3942","Dasyprocta fuliginosa","Dasyproctidae","accepted name","Dasyprocta","Mammalia"
"80","Priodontes maximus","Animalia","Mammalia","Cingulata","3942","Priodontes maximus","Dasypodidae","accepted name","Priodontes","Mammalia"
"81","Dasyprocta fuliginosa","Animalia","Mammalia","Rodentia","3942","D. fuliginosa","Dasyproctidae","accepted name","Dasyprocta","Mammalia"
"82","Dasypus novemcinctus","Animalia","Mammalia","Cingulata","3942","D. novemcinctus","Dasypodidae","accepted name","Dasypus","Mammalia"
